ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
cdf6dfe4-33ac-45e0-b8fa-f8e6dfcf328a,MYM Lácteos y Cárnicos SAS,315 5718548,Proveedor de lácteos,"5,0",(13),Engativá,Bogotá,315 5718548,N/A,"Lacteos, Bogotá, Engativá",Lácteos
7c2930e4-e934-47ed-b153-0c02c42dee4d,Lácteos Las Vegas Express,Abierto ⋅ Cierra a las 9 p. m.,N/A,"3,8",(11),Engativá,Bogotá,N/A,N/A,"Lacteos, Bogotá, Engativá",Lácteos
52e2c1c3-3995-4b90-8098-84ee9d98fc26,Distribuidora de Productos Lácteos Los Molinos,16301640,Comercio,"4,4",(116),Engativá,Bogotá,16301640,N/A,"Lacteos, Bogotá, Engativá",Lácteos
7f32dfb5-ad93-4653-8959-49748f4e83d6,Lacteos El Establo,14303065,Quesería,"4,1",(43),Engativá,Bogotá,14303065,N/A,"Lacteos, Bogotá, Engativá",Otros
c5496fbf-a394-450f-ae8b-746c8ef23761,Lácteos Los Ángeles,310 5754824,Quesería,"4,3",(48),Engativá,Bogotá,310 5754824,N/A,"Lacteos, Bogotá, Engativá",Lácteos
b215f220-1b80-4183-a7dd-fffff9e1fe87,Salsamentaria Bachuexpress,310 2365670,Quesería,"4,5",(11),Engativá,Bogotá,310 2365670,N/A,"Lacteos, Bogotá, Engativá",Otros
adc7881c-cc8a-462e-93a0-c8d03e59dbde,Lácteos El Bosque,318 3307166,N/A,"4,9",(11),Engativá,Bogotá,318 3307166,N/A,"Lacteos, Bogotá, Engativá",Lácteos
f7695479-8e80-4c58-9510-5e7712cd5abb,Salsamentaria y lacteos sofia,Abierto ⋅ Cierra a las 11 p. m.,N/A,"4,5",(6),Engativá,Bogotá,N/A,N/A,"Lacteos, Bogotá, Engativá",Otros
e4f5c8a3-c270-4b38-a446-c4c4d9b0a239,DISTRILACTEOS LA ALBANIA,14616354,Quesería,"5,0",(1),Engativá,Bogotá,14616354,N/A,"Lacteos, Bogotá, Engativá",Otros
bdb666e9-0694-4efa-8168-9f1e5b237b25,Merca lacteos Y Salsamentaria Boyacense,Cierra pronto ⋅ 8 p. m. ⋅ Abre a las 8 a. m. del mié,N/A,"5,0",(1),Engativá,Bogotá,N/A,N/A,"Lacteos, Bogotá, Engativá",Otros
6cbef850-8e4b-4991-b0e2-3b10b2c92022,Dislacteos Los Alpes,12670816,Quesería,"4,0",(48),Fontibón,Bogotá,12670816,N/A,"Lacteos, Bogotá, Fontibón",Otros
af8f2354-4810-4b1e-99a4-6cb2012d79ac,Distribuidora de Quesos el Orito,(601) 4130673,Quesería,"4,3",(36),Fontibón,Bogotá,(601) 4130673,N/A,"Lacteos, Bogotá, Fontibón",Otros
d68cfe1c-0a8e-4727-8ec3-083faaa149b4,fonti quesos,12672813,Quesería,"4,2",(63),Fontibón,Bogotá,12672813,N/A,"Lacteos, Bogotá, Fontibón",Otros
